predicate,subject,subject_type,object,object_type
诊断检查,鼻中隔血肿,疾病,鼻咽部活组织检查,观测操作
诊断检查,鼻中隔血肿,疾病,耳鼻咽喉CT检查,观测操作
推荐饮食,鼻中隔血肿,疾病,鸭翅,饮食
推荐饮食,鼻中隔血肿,疾病,莲子,饮食
推荐饮食,鼻中隔血肿,疾病,栗子（鲜）,饮食
推荐饮食,鼻中隔血肿,疾病,葵花子仁,饮食
禁忌饮食,鼻中隔血肿,疾病,鸭血(白鸭),饮食
禁忌饮食,鼻中隔血肿,疾病,花生,饮食
禁忌饮食,鼻中隔血肿,疾病,赤小豆,饮食
禁忌饮食,鼻中隔血肿,疾病,白扁豆,饮食
推荐饮食,鼻中隔血肿,疾病,山药桂圆粥,饮食
推荐饮食,鼻中隔血肿,疾病,山药羊肉粥,饮食
推荐饮食,鼻中隔血肿,疾病,山药奶肉羹,饮食
推荐饮食,鼻中隔血肿,疾病,薄荷莲子羹,饮食
推荐饮食,鼻中隔血肿,疾病,清甜莲子,饮食
治疗药物,鼻中隔血肿,疾病,三七胶囊,药品
治疗药物,鼻中隔血肿,疾病,伤科接骨片,药品
临床症状,鼻前庭炎,疾病,鳞屑,症状
临床症状,鼻前庭炎,疾病,驻站医,症状
临床症状,鼻前庭炎,疾病,鼻前庭部发痒,症状
临床症状,鼻前庭炎,疾病,鼻毛脱落,症状
临床症状,鼻前庭炎,疾病,鼻毛变白,症状
临床症状,鼻前庭炎,疾病,结痂,症状
治疗操作,鼻前庭炎,疾病,药物治疗,操作
治疗操作,鼻前庭炎,疾病,康复治疗,操作
相关人群,鼻前庭炎,疾病,无特发人群,人群
治疗药物,鼻前庭炎,疾病,通窍鼻炎片,药品
治疗药物,鼻前庭炎,疾病,鼻炎灵片,药品
诊断检查,鼻前庭炎,疾病,前鼻镜检查,观测操作
诊断检查,鼻前庭炎,疾病,鼻咽部活组织检查,观测操作
诊断检查,鼻前庭炎,疾病,耳、鼻、咽拭子细菌培养,观测操作
推荐饮食,鼻前庭炎,疾病,鸭翅,饮食
推荐饮食,鼻前庭炎,疾病,栗子（鲜）,饮食
推荐饮食,鼻前庭炎,疾病,葵花子仁,饮食
推荐饮食,鼻前庭炎,疾病,核桃,饮食
禁忌饮食,鼻前庭炎,疾病,鸭血(白鸭),饮食
禁忌饮食,鼻前庭炎,疾病,花生,饮食
禁忌饮食,鼻前庭炎,疾病,赤小豆,饮食
禁忌饮食,鼻前庭炎,疾病,白扁豆,饮食
推荐饮食,鼻前庭炎,疾病,胡萝卜猪肝汤,饮食
推荐饮食,鼻前庭炎,疾病,绿豆南瓜汤,饮食
推荐饮食,鼻前庭炎,疾病,南瓜大麦粥,饮食
推荐饮食,鼻前庭炎,疾病,绿豆奶粥,饮食
推荐饮食,鼻前庭炎,疾病,薏仁绿豆汤,饮食
推荐饮食,鼻前庭炎,疾病,百合莲子绿豆粥,饮食
治疗药物,鼻前庭炎,疾病,鼻渊丸,药品
治疗药物,鼻前庭炎,疾病,匹多莫德胶囊,药品
临床症状,鼻中隔溃疡,疾病,鼻黏膜溃疡,症状
临床症状,鼻中隔溃疡,疾病,鼻腔干燥及结痂,症状
临床症状,鼻中隔溃疡,疾病,鼻粘膜出血,症状
临床症状,鼻中隔溃疡,疾病,鼻痒,症状
临床症状,鼻中隔溃疡,疾病,鼻前庭皮肤红肿疼痛,症状
临床症状,鼻中隔溃疡,疾病,鼻中隔穿孔,症状
临床症状,鼻中隔溃疡,疾病,鼻子红血丝,症状
临床症状,鼻中隔溃疡,疾病,鼻黏膜可呈颗粒...,症状
治疗操作,鼻中隔溃疡,疾病,药物治疗,操作
治疗操作,鼻中隔溃疡,疾病,康复治疗,操作
相关人群,鼻中隔溃疡,疾病,无特发人群,人群
治疗药物,鼻中隔溃疡,疾病,生三七散,药品
治疗药物,鼻中隔溃疡,疾病,三七片,药品
诊断检查,鼻中隔溃疡,疾病,鼻腔内镜检查,观测操作
诊断检查,鼻中隔溃疡,疾病,耳鼻咽喉CT检查,观测操作
诊断检查,鼻中隔溃疡,疾病,鼻咽部活组织检查,观测操作
诊断检查,鼻中隔溃疡,疾病,鼻粘膜及鼻腔分泌物,观测操作
诊断检查,鼻中隔溃疡,疾病,耳、鼻、咽拭子细菌培养,观测操作
诊断检查,鼻中隔溃疡,疾病,鼻部功能检查,观测操作
推荐饮食,鼻中隔溃疡,疾病,鸭翅,饮食
推荐饮食,鼻中隔溃疡,疾病,栗子（鲜）,饮食
推荐饮食,鼻中隔溃疡,疾病,葵花子仁,饮食
推荐饮食,鼻中隔溃疡,疾病,白果（干）,饮食
禁忌饮食,鼻中隔溃疡,疾病,啤酒,饮食
禁忌饮食,鼻中隔溃疡,疾病,白酒,饮食
禁忌饮食,鼻中隔溃疡,疾病,鸭血(白鸭),饮食
禁忌饮食,鼻中隔溃疡,疾病,花生,饮食
推荐饮食,鼻中隔溃疡,疾病,香菇牛肉粥,饮食
推荐饮食,鼻中隔溃疡,疾病,香菇冬瓜汤,饮食
推荐饮食,鼻中隔溃疡,疾病,百合绿豆沙羹,饮食
推荐饮食,鼻中隔溃疡,疾病,核桃芝麻百合粥,饮食
推荐饮食,鼻中隔溃疡,疾病,冬瓜粥,饮食
推荐饮食,鼻中隔溃疡,疾病,酿冬瓜,饮食
治疗药物,鼻中隔溃疡,疾病,三七胶囊,药品
治疗药物,鼻中隔溃疡,疾病,伤科接骨片,药品
临床症状,鼻石,疾病,脓性分泌物,症状
临床症状,鼻石,疾病,头昏,症状
临床症状,鼻石,疾病,鼻甲肿胀,症状
临床症状,鼻石,疾病,鼻塞排出脓性或...,症状
治疗操作,鼻石,疾病,药物治疗,操作
治疗操作,鼻石,疾病,康复治疗,操作
相关人群,鼻石,疾病,好发于成年男女,人群
诊断检查,鼻石,疾病,鼻腔内镜检查,观测操作
诊断检查,鼻石,疾病,耳、鼻、咽拭子细菌培养,观测操作
诊断检查,鼻石,疾病,鼻咽部活组织检查,观测操作
诊断检查,鼻石,疾病,耳鼻咽喉CT检查,观测操作
诊断检查,鼻石,疾病,鼻粘膜及鼻腔分泌物,观测操作
推荐饮食,鼻石,疾病,鸭翅,饮食
推荐饮食,鼻石,疾病,栗子（鲜）,饮食
推荐饮食,鼻石,疾病,葵花子仁,饮食
推荐饮食,鼻石,疾病,白果（干）,饮食
禁忌饮食,鼻石,疾病,鸭血(白鸭),饮食
禁忌饮食,鼻石,疾病,花生,饮食
禁忌饮食,鼻石,疾病,赤小豆,饮食
禁忌饮食,鼻石,疾病,白扁豆,饮食
推荐饮食,鼻石,疾病,山药葡萄粥,饮食
推荐饮食,鼻石,疾病,山药桂圆粥,饮食
推荐饮食,鼻石,疾病,茯苓大枣山药粥,饮食
推荐饮食,鼻石,疾病,芹菜炒鸡蛋,饮食
推荐饮食,鼻石,疾病,鸡蛋木耳粥,饮食
推荐饮食,鼻石,疾病,牛奶玉米汤,饮食
推荐饮食,鼻石,疾病,牛奶杏仁粥,饮食
临床症状,鼻瓣区狭窄,疾病,息肉,症状
临床症状,鼻瓣区狭窄,疾病,鼻出血,症状
临床症状,鼻瓣区狭窄,疾病,吸气时鼻腔阻塞,症状
治疗操作,鼻瓣区狭窄,疾病,药物治疗,操作
治疗操作,鼻瓣区狭窄,疾病,康复治疗,操作
相关人群,鼻瓣区狭窄,疾病,无特定的人群,人群
诊断检查,鼻瓣区狭窄,疾病,鼻腔内镜检查,观测操作
诊断检查,鼻瓣区狭窄,疾病,耳鼻咽喉CT检查,观测操作
诊断检查,鼻瓣区狭窄,疾病,鼻部功能检查,观测操作
推荐饮食,鼻瓣区狭窄,疾病,鸡蛋,饮食
推荐饮食,鼻瓣区狭窄,疾病,鸭翅,饮食
推荐饮食,鼻瓣区狭窄,疾病,栗子（鲜）,饮食
推荐饮食,鼻瓣区狭窄,疾病,葵花子仁,饮食
禁忌饮食,鼻瓣区狭窄,疾病,鸭血(白鸭),饮食
禁忌饮食,鼻瓣区狭窄,疾病,花生,饮食
禁忌饮食,鼻瓣区狭窄,疾病,赤小豆,饮食
禁忌饮食,鼻瓣区狭窄,疾病,白扁豆,饮食
推荐饮食,鼻瓣区狭窄,疾病,甘蔗萝卜汤,饮食
推荐饮食,鼻瓣区狭窄,疾病,猪肉玉米粥,饮食
推荐饮食,鼻瓣区狭窄,疾病,黄瓜猪肉羹,饮食
推荐饮食,鼻瓣区狭窄,疾病,芹菜炒鸡蛋,饮食
推荐饮食,鼻瓣区狭窄,疾病,桂圆鸡蛋汤,饮食
推荐饮食,鼻瓣区狭窄,疾病,牛奶杏仁粥,饮食
推荐饮食,鼻瓣区狭窄,疾病,牛奶麦片粥,饮食
临床症状,鼻窦炎,疾病,鼻塞及反射性头痛,症状
临床症状,鼻窦炎,疾病,上颌窦囊肿,症状
临床症状,鼻窦炎,疾病,脓鼻涕增多且不易擤尽,症状
临床症状,鼻窦炎,疾病,鼻塞排出脓性或...,症状
临床症状,鼻窦炎,疾病,食欲不振,症状
临床症状,鼻窦炎,疾病,清晨或上午头痛,症状
临床症状,鼻窦炎,疾病,头昏,症状
临床症状,鼻窦炎,疾病,恶心,症状
临床症状,鼻窦炎,疾病,阵发性鼻塞,症状
临床症状,鼻窦炎,疾病,增殖腺肥大,症状
治疗操作,鼻窦炎,疾病,药物治疗,操作
治疗操作,鼻窦炎,疾病,支持性治疗,操作
相关人群,鼻窦炎,疾病,无特发人群,人群
治疗药物,鼻窦炎,疾病,阿奇霉素片,药品
治疗药物,鼻窦炎,疾病,头孢克洛颗粒,药品
诊断检查,鼻窦炎,疾病,耳鼻咽喉CT检查,观测操作
诊断检查,鼻窦炎,疾病,鼻咽部活组织检查,观测操作
诊断检查,鼻窦炎,疾病,副鼻窦造影,观测操作
诊断检查,鼻窦炎,疾病,鼻腔内镜检查,观测操作
诊断检查,鼻窦炎,疾病,鼻甲和鼻道,观测操作
诊断检查,鼻窦炎,疾病,耳、鼻、咽拭子细菌培养,观测操作
推荐饮食,鼻窦炎,疾病,鹿肉,饮食
推荐饮食,鼻窦炎,疾病,鸡蛋,饮食
推荐饮食,鼻窦炎,疾病,鸭翅,饮食
推荐饮食,鼻窦炎,疾病,芝麻,饮食
禁忌饮食,鼻窦炎,疾病,鸭血(白鸭),饮食
禁忌饮食,鼻窦炎,疾病,赤小豆,饮食
禁忌饮食,鼻窦炎,疾病,白扁豆,饮食
禁忌饮食,鼻窦炎,疾病,田螺,饮食
推荐饮食,鼻窦炎,疾病,三丝瓜羹,饮食
推荐饮食,鼻窦炎,疾病,杞子南枣煲鸡蛋,饮食
推荐饮食,鼻窦炎,疾病,百合圆肉煲鸡蛋,饮食
推荐饮食,鼻窦炎,疾病,山药炖猪蹄,饮食
推荐饮食,鼻窦炎,疾病,百合蜜枣猪蹄汤,饮食
推荐饮食,鼻窦炎,疾病,豆芽猪蹄汤,饮食
推荐饮食,鼻窦炎,疾病,猪蹄当归粥,饮食
推荐饮食,鼻窦炎,疾病,花生猪蹄汤,饮食
治疗药物,鼻窦炎,疾病,氨苄西林胶囊,药品
治疗药物,鼻窦炎,疾病,罗红霉素胶囊,药品
治疗药物,鼻窦炎,疾病,头孢拉定胶囊,药品
治疗药物,鼻窦炎,疾病,阿莫西林颗粒,药品
治疗药物,鼻窦炎,疾病,匹多莫德颗粒剂,药品
治疗药物,鼻窦炎,疾病,依托红霉素片,药品
治疗药物,鼻窦炎,疾病,头孢氨苄胶囊,药品
治疗药物,鼻窦炎,疾病,鼻炎灵片,药品
治疗药物,鼻窦炎,疾病,乙酰螺旋霉素片,药品
治疗药物,鼻窦炎,疾病,盐酸头孢他美酯片,药品
治疗药物,鼻窦炎,疾病,鼻窦炎口服液,药品
治疗药物,鼻窦炎,疾病,盐酸羟甲唑啉喷雾剂,药品
治疗药物,鼻窦炎,疾病,头孢克肟颗粒,药品
治疗药物,鼻窦炎,疾病,匹多莫德口服溶液,药品
治疗药物,鼻窦炎,疾病,注射用头孢唑林钠,药品
治疗药物,鼻窦炎,疾病,克拉霉素分散片,药品
临床症状,鼻恶性肉芽肿,疾病,鼻外部膨胀隆起,症状
临床症状,鼻恶性肉芽肿,疾病,弛张热,症状
临床症状,鼻恶性肉芽肿,疾病,带血性分泌物,症状
临床症状,鼻恶性肉芽肿,疾病,鼻中隔穿孔,症状
临床症状,鼻恶性肉芽肿,疾病,间歇性鼻阻塞,症状
临床症状,鼻恶性肉芽肿,疾病,腭部穿孔,症状
临床症状,鼻恶性肉芽肿,疾病,鼻粘膜肿胀,症状
治疗操作,鼻恶性肉芽肿,疾病,药物治疗,操作
治疗操作,鼻恶性肉芽肿,疾病,支持性治疗,操作
相关人群,鼻恶性肉芽肿,疾病,无特发人群,人群
治疗药物,鼻恶性肉芽肿,疾病,转移因子口服溶液,药品
治疗药物,鼻恶性肉芽肿,疾病,注射用氨磷汀,药品
诊断检查,鼻恶性肉芽肿,疾病,鼻咽部活组织检查,观测操作
诊断检查,鼻恶性肉芽肿,疾病,鼻咽部MRI检查,观测操作
诊断检查,鼻恶性肉芽肿,疾病,耳、鼻、咽拭子细菌培养,观测操作
诊断检查,鼻恶性肉芽肿,疾病,耳鼻咽喉CT检查,观测操作
诊断检查,鼻恶性肉芽肿,疾病,鼻腔内镜检查,观测操作
推荐饮食,鼻恶性肉芽肿,疾病,鸭翅,饮食
推荐饮食,鼻恶性肉芽肿,疾病,芝麻,饮食
推荐饮食,鼻恶性肉芽肿,疾病,松子仁,饮食
推荐饮食,鼻恶性肉芽肿,疾病,栗子（熟）,饮食
禁忌饮食,鼻恶性肉芽肿,疾病,咸鸭蛋,饮食
禁忌饮食,鼻恶性肉芽肿,疾病,鸭血(白鸭),饮食
禁忌饮食,鼻恶性肉芽肿,疾病,赤小豆,饮食
禁忌饮食,鼻恶性肉芽肿,疾病,白扁豆,饮食
推荐饮食,鼻恶性肉芽肿,疾病,海带瘦肉粥,饮食
推荐饮食,鼻恶性肉芽肿,疾病,海带粳米粥,饮食
推荐饮食,鼻恶性肉芽肿,疾病,紫菜鸡蛋汤,饮食
推荐饮食,鼻恶性肉芽肿,疾病,紫菜萝卜汤,饮食
推荐饮食,鼻恶性肉芽肿,疾病,红萝卜海蜇粥,饮食
推荐饮食,鼻恶性肉芽肿,疾病,海蜇猪骨汤,饮食
治疗药物,鼻恶性肉芽肿,疾病,消癌平片,药品
治疗药物,鼻恶性肉芽肿,疾病,天芝草胶囊,药品
治疗药物,鼻恶性肉芽肿,疾病,甘露聚糖肽片,药品
治疗药物,鼻恶性肉芽肿,疾病,鼻咽灵片,药品
治疗药物,鼻恶性肉芽肿,疾病,鼻咽清毒颗粒,药品
临床症状,过敏性鼻炎,疾病,鼻粘膜苍白水肿,症状
临床症状,过敏性鼻炎,疾病,丘疹,症状
临床症状,过敏性鼻炎,疾病,鼻溢液,症状
临床症状,过敏性鼻炎,疾病,鼻端出火,症状
临床症状,过敏性鼻炎,疾病,鼻前庭部发痒,症状
临床症状,过敏性鼻炎,疾病,鼻痒,症状
临床症状,过敏性鼻炎,疾病,侧卧时位于下侧...,症状
临床症状,过敏性鼻炎,疾病,鼻塞,症状
临床症状,过敏性鼻炎,疾病,鼻和喉部灼热感,症状
临床症状,过敏性鼻炎,疾病,气喘,症状
治疗操作,过敏性鼻炎,疾病,药物治疗,操作
治疗操作,过敏性鼻炎,疾病,支持性治疗,操作
相关人群,过敏性鼻炎,疾病,具有过敏性体质的人,人群
治疗药物,过敏性鼻炎,疾病,富马酸酮替芬片,药品
治疗药物,过敏性鼻炎,疾病,氯雷他定糖浆,药品
诊断检查,过敏性鼻炎,疾病,鼻部功能检查,观测操作
诊断检查,过敏性鼻炎,疾病,鼻粘膜及鼻腔分泌物,观测操作
诊断检查,过敏性鼻炎,疾病,鼻咽部活组织检查,观测操作
诊断检查,过敏性鼻炎,疾病,鼻内激发试验,观测操作
推荐饮食,过敏性鼻炎,疾病,蜂蜜,饮食
推荐饮食,过敏性鼻炎,疾病,鸭翅,饮食
推荐饮食,过敏性鼻炎,疾病,鸡心,饮食
推荐饮食,过敏性鼻炎,疾病,鸡肉,饮食
禁忌饮食,过敏性鼻炎,疾病,鸭血(白鸭),饮食
禁忌饮食,过敏性鼻炎,疾病,杏仁,饮食
禁忌饮食,过敏性鼻炎,疾病,绿豆,饮食
禁忌饮食,过敏性鼻炎,疾病,赤小豆,饮食
推荐饮食,过敏性鼻炎,疾病,熟地黄芪芡实羹,饮食
推荐饮食,过敏性鼻炎,疾病,凉拌紫苏叶,饮食
推荐饮食,过敏性鼻炎,疾病,枸杞叶粥,饮食
推荐饮食,过敏性鼻炎,疾病,柏子仁鸡心,饮食
推荐饮食,过敏性鼻炎,疾病,炒羊肚丝,饮食
推荐饮食,过敏性鼻炎,疾病,腐竹猪肝粥,饮食
推荐饮食,过敏性鼻炎,疾病,香椿芽粥,饮食
推荐饮食,过敏性鼻炎,疾病,糯米莲藕,饮食
治疗药物,过敏性鼻炎,疾病,氯雷他定胶囊,药品
治疗药物,过敏性鼻炎,疾病,通窍鼻炎片,药品
治疗药物,过敏性鼻炎,疾病,盐酸西替利嗪片,药品
治疗药物,过敏性鼻炎,疾病,孟鲁司特钠咀嚼片,药品
治疗药物,过敏性鼻炎,疾病,盐酸非索非那定片,药品
治疗药物,过敏性鼻炎,疾病,富马酸酮替芬胶囊,药品
治疗药物,过敏性鼻炎,疾病,氯雷他定片,药品
治疗药物,过敏性鼻炎,疾病,孟鲁司特钠片,药品
治疗药物,过敏性鼻炎,疾病,滴通鼻炎水,药品
治疗药物,过敏性鼻炎,疾病,富马酸酮替芬滴鼻液,药品
治疗药物,过敏性鼻炎,疾病,盐酸左旋咪唑搽剂,药品
治疗药物,过敏性鼻炎,疾病,盐酸异丙嗪片,药品
治疗药物,过敏性鼻炎,疾病,胆香鼻炎片,药品
治疗药物,过敏性鼻炎,疾病,马来酸氯苯那敏片,药品
临床症状,干酪性鼻炎,疾病,鼻屎多,症状
临床症状,干酪性鼻炎,疾病,鼻干,症状
临床症状,干酪性鼻炎,疾病,鼻黏膜和鼻甲萎缩,症状
临床症状,干酪性鼻炎,疾病,鼻孔干疼,症状
临床症状,干酪性鼻炎,疾病,岳晗,症状
临床症状,干酪性鼻炎,疾病,鼻干燥,症状
临床症状,干酪性鼻炎,疾病,骨质破坏,症状
临床症状,干酪性鼻炎,疾病,鼻中隔穿孔,症状
临床症状,干酪性鼻炎,疾病,鼻出血,症状
治疗操作,干酪性鼻炎,疾病,药物治疗,操作
治疗操作,干酪性鼻炎,疾病,支持性治疗,操作
相关人群,干酪性鼻炎,疾病,无特发人群,人群
治疗药物,干酪性鼻炎,疾病,注射用头孢唑林钠,药品
治疗药物,干酪性鼻炎,疾病,诺氟沙星胶囊,药品
诊断检查,干酪性鼻炎,疾病,耳、鼻、咽拭子细菌培养,观测操作
诊断检查,干酪性鼻炎,疾病,鼻腔内镜检查,观测操作
诊断检查,干酪性鼻炎,疾病,耳鼻咽喉CT检查,观测操作
诊断检查,干酪性鼻炎,疾病,鼻咽部活组织检查,观测操作
推荐饮食,干酪性鼻炎,疾病,鸭翅,饮食
推荐饮食,干酪性鼻炎,疾病,鸡心,饮食
推荐饮食,干酪性鼻炎,疾病,鸡肉,饮食
推荐饮食,干酪性鼻炎,疾病,松子仁,饮食
禁忌饮食,干酪性鼻炎,疾病,鸭血(白鸭),饮食
禁忌饮食,干酪性鼻炎,疾病,杏仁,饮食
禁忌饮食,干酪性鼻炎,疾病,绿豆,饮食
禁忌饮食,干酪性鼻炎,疾病,赤小豆,饮食
推荐饮食,干酪性鼻炎,疾病,香菇扒小白菜,饮食
推荐饮食,干酪性鼻炎,疾病,白菜粥,饮食
推荐饮食,干酪性鼻炎,疾病,百合炒西兰花,饮食
推荐饮食,干酪性鼻炎,疾病,素炒西兰花,饮食
推荐饮食,干酪性鼻炎,疾病,西瓜羹,饮食
推荐饮食,干酪性鼻炎,疾病,苹果,饮食
推荐饮食,干酪性鼻炎,疾病,胡萝卜苹果汁,饮食
推荐饮食,干酪性鼻炎,疾病,炖奶汤鲫鱼萝卜丝,饮食
治疗药物,干酪性鼻炎,疾病,罗红霉素颗粒,药品
治疗药物,干酪性鼻炎,疾病,溶菌酶肠溶片,药品
